seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
12,Pspline-SGD,0.3,7000,5,0.17548656463623,0.22065698680924914,1.3272630937936534,1.3235966590766306,0.2741149331110272,0.20198147730713048,0.23914211843370317,0.13688994084394387,0.19226613247637922
12,Pspline-SGD,0.3,7100,5,0.176282644271851,0.0974555562794491,1.3138658322331882,1.3115762323860987,0.2029812341967891,0.19869236297634854,0.23592434348611044,0.13678058260449927,0.19040236635769112
12,Pspline-SGD,0.3,7200,5,0.172351360321045,0.12388294778992559,1.3247512138267947,1.294558049163288,0.18496348446793315,0.1945436877859323,0.23169474934445808,0.13822453071874108,0.18870155098056646
12,Pspline-SGD,0.3,7300,5,0.172654628753662,0.12340084431233427,1.3162440626002647,1.306069086291706,0.24077521799171658,0.19063716969057148,0.22756871536361278,0.13980951046254717,0.18713006993918704
12,Pspline-SGD,0.3,7400,5,0.17585277557373,0.14932923139277937,1.3216664890902088,1.3126694289830616,0.23101526471203776,0.1878001376619927,0.22462999993682176,0.14044766024235422,0.184846730644979
12,Pspline-SGD,0.3,7500,5,0.173108577728271,0.15874443109660175,1.3210461938085063,1.306025104021283,0.2541945245722562,0.18579436386766449,0.22264506896101788,0.1407514680904974,0.1823549074729357
12,Pspline-SGD,0.3,7600,5,0.172177791595459,0.13329549449628858,1.3201898516598427,1.3075274384736941,0.20072661911933273,0.18349407766797407,0.21987226662661816,0.14082060720466222,0.17954733200560874
12,Pspline-SGD,0.3,7700,5,0.172043800354004,0.12523008933821161,1.2915613896153841,1.2825549027094871,0.13938720458705062,0.1814062665447244,0.2173846662596126,0.1414534674027818,0.176997855629162
12,Pspline-SGD,0.3,7800,5,0.173043012619019,0.1620442360032115,1.2906493231281222,1.2770132390647408,0.1467717615359759,0.17923402037367636,0.21494657901507191,0.14187229807575957,0.17500588126838226
12,Pspline-SGD,0.3,7900,5,0.173271417617798,0.11472909154465588,1.2653236502132157,1.2578658132689347,0.23076539667489013,0.17721589831632215,0.21298652856423145,0.14292602411280536,0.17306348675811242
12,Pspline-SGD,0.3,8000,5,0.17509913444519,0.16411918198289688,1.2882548898547233,1.2885167922857814,0.24617043358153146,0.17443574998405356,0.21043446677818178,0.1430605324652194,0.17126060815991198
12,Pspline-SGD,0.3,8100,5,0.175730228424072,0.1366088259943343,1.2743505493496308,1.2797356885101647,0.2654494559521841,0.17073052915949613,0.2075231544164521,0.14477679328610057,0.1702759958993464
12,Pspline-SGD,0.3,8200,5,0.169575452804565,0.15108878346518728,1.2689540290894448,1.2694343869310718,0.22315012651346242,0.1669075347893921,0.20443245046523975,0.14612462931120015,0.1691381062494312
12,Pspline-SGD,0.3,8300,5,0.17258620262146,0.14784687682521486,1.2782635145745689,1.2751092929015857,0.18427705197433084,0.1633361995940004,0.20139060232125902,0.14719033547367935,0.1683318090085707
12,Pspline-SGD,0.3,8400,5,0.174876928329468,0.14768146765600318,1.2590768867564632,1.2539321466929838,0.1867921888757355,0.16064111713442303,0.1990444988284324,0.14850380605908092,0.16760505422055472
12,Pspline-SGD,0.3,8500,5,0.172243595123291,0.12089485142872483,1.2705545203962514,1.2599424708240867,0.18496057367594482,0.15783205432335098,0.19696093796619274,0.15016417745459526,0.1671906900785698
12,Pspline-SGD,0.3,8600,5,0.172099590301514,0.16673621225120844,1.2499965041043881,1.2469085746380781,0.18531818597301558,0.15542587520186116,0.19522384188566472,0.1518123512901494,0.16690811094298497
12,Pspline-SGD,0.3,8700,5,0.173481702804565,0.1471897983379524,1.243982755954399,1.2411929756300883,0.1745957944422141,0.1536390074437474,0.1938777498595629,0.15325171054521586,0.16663390456281976
