seed,Method,epoch,nBlock,wBeta,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
38,OnlineFPCA-adagrad,2,10,0.7,8.538731693162206e-17,0.030874081340212158,0.2301215335230686,0.1516501575955112,0.023799818784012144,0.17634224537016865,0.18718079969535456
38,OnlineFPCA-adagrad,3,10,0.7,8.538731693162206e-17,0.031230161549819405,0.20820641897372577,0.13633704825016338,0.024392212446651868,0.09501512413502283,0.10192988772415698
38,OnlineFPCA-adagrad,1,10,0.9,1.8533753491366693e-16,0.04649660175825169,0.3633661426365123,0.3336763152889609,0.08789927395660907,0.3126036742101097,0.3651373960905595
38,OnlineFPCA-adagrad,2,10,0.9,1.8533753491366693e-16,0.03081144543433211,0.22631771882167,0.14605225194982158,0.024017315071601958,0.11507322969971744,0.1251295299559861
38,OnlineFPCA-adagrad,3,10,0.9,1.8533753491366693e-16,0.03124681878214374,0.20887346425885814,0.13833239675575867,0.024466714746565546,0.06893615728302666,0.07237976870112721
38,OnlineFPCA-adagrad,1,20,0.1,2.2498197085154285e-11,0.048256517006856306,0.3649995258420373,0.31103716452590624,0.08203293574127232,0.3024498358947911,0.34943989813391413
38,OnlineFPCA-adagrad,2,20,0.1,2.2498197085154285e-11,0.0329194284918464,0.2423248206887256,0.15371651070484801,0.02354430859356093,0.08806509987669159,0.08785107616206632
38,OnlineFPCA-adagrad,3,20,0.1,2.2498197085154285e-11,0.030587330276157502,0.2252218722435559,0.14854071815879583,0.023912123086938186,0.06498521345898242,0.059023642950178166
38,OnlineFPCA-adagrad,1,20,0.3,1.8704600305613778e-11,0.048435412099668895,0.37981642487838524,0.32736393486123194,0.08233068461759542,0.3210437429593531,0.36535126717822164
38,OnlineFPCA-adagrad,2,20,0.3,1.8704600305613778e-11,0.03294734635129967,0.24237512189125263,0.15345847831344597,0.023547811993048614,0.09647008376540969,0.09757814964734987
38,OnlineFPCA-adagrad,3,20,0.3,1.8704600305613778e-11,0.030588384830988122,0.2251915772903154,0.14830193581928985,0.02391802513531724,0.06577578530705053,0.06103765532223892
38,OnlineFPCA-adagrad,1,20,0.5,1.631693642289681e-11,0.04568175660891406,0.25435713428155793,0.18801860073958043,0.07819198714903589,0.13006308567643107,0.21555287056996217
38,OnlineFPCA-adagrad,2,20,0.5,1.631693642289681e-11,0.03273219656454236,0.24359148453884333,0.1585189496784198,0.023267638674511135,0.08134406988811514,0.06735255954793384
38,OnlineFPCA-adagrad,3,20,0.5,1.631693642289681e-11,0.030584638793401453,0.22552669698739503,0.15034491528459612,0.023740857174618452,0.08526831339107596,0.07337906087162596
38,OnlineFPCA-adagrad,1,20,0.7,1.816311267899954e-11,0.04568294356147085,0.25436233313229417,0.18801237497069703,0.07819117097127423,0.13006943345043076,0.2155512829792679
38,OnlineFPCA-adagrad,2,20,0.7,1.816311267899954e-11,0.032732214497503145,0.2435911954214628,0.15851815742529018,0.023267954004422792,0.0813408643346968,0.06734796472062403
38,OnlineFPCA-adagrad,3,20,0.7,1.816311267899954e-11,0.030584649261438182,0.225526584711737,0.15034450237682637,0.02374101749342194,0.08526633489532738,0.07337675188614326
38,OnlineFPCA-adagrad,1,20,0.9,1.4730081762511544e-11,0.04568510237999204,0.2543290221071359,0.18794122838052021,0.07819149133487692,0.1300033918931172,0.21545000045175577
38,OnlineFPCA-adagrad,2,20,0.9,1.4730081762511544e-11,0.032732149498896655,0.24359300388429983,0.1585225185960199,0.023267579276481626,0.0813757366725044,0.06738826429929856
38,OnlineFPCA-adagrad,3,20,0.9,1.4730081762511544e-11,0.030584630497271257,0.2255270095547465,0.15034592566505292,0.02374080250636595,0.08528814832819201,0.07340062705318721
38,OnlineFPCA-adagrad,1,50,0.1,2.9436451609692722e-8,0.06150450740775675,0.2877917717639724,0.16163308482635447,0.04707082050492607,0.11272291431006352,0.17278763274900874
38,OnlineFPCA-adagrad,2,50,0.1,2.9436451609692722e-8,0.04118338690887208,0.2648217644022722,0.1616745704311098,0.02245841133182036,0.07823786738347793,0.057855891409650674
38,OnlineFPCA-adagrad,3,50,0.1,2.9436451609692722e-8,0.03353189786352428,0.24588964988252077,0.15466186396347126,0.023102349319367083,0.08305088277778207,0.06791315533411509
